175.000 177.392 94.753 13.849
176.000 178.392 95.225 13.849
177.000 179.393 96.263 13.849
178.000 180.393 97.584 14.227
179.000 181.393 97.206 14.981
180.000 182.394 96.546 16.019
181.000 183.394 96.452 15.925
182.000 184.395 95.791 17.529
183.000 185.396 96.263 17.906
184.000 186.396 96.546 17.717
185.000 187.396 96.263 17.340
186.000 188.397 96.735 18.378
187.000 189.397 96.829 18.661
188.000 190.398 97.206 19.227
189.000 191.398 96.829 20.170
190.000 192.398 97.584 20.925
191.000 193.400 98.904 21.585
192.000 194.400 97.395 21.774
193.000 195.401 98.433 22.812
194.000 196.501 98.055 23.189
195.000 197.502 97.867 24.415
196.000 198.503 97.395 25.170
197.000 199.503 95.980 24.793
198.000 200.503 95.791 25.830
